,sample_name,idx_to_news_sample,dist_to_news_source_arcsec,chunk_number,id,ra,dec,news_ra,news_dec
0,mirong,9321860,29.5059916805559,18,1,0.1936,14.637,0.19839801,14.6302454
1,mirong,18609065,0.126852466813761,36,2,0.8489,1.0965,0.84891404,1.09646768
2,mirong,15163064,54.66419011457139,30,3,1.1086,2.151,1.10282669,2.1369542
3,mirong,19612982,16.998466029669654,38,4,1.6094,-5.2135,1.61330113,-5.21081632
4,mirong,27987402,36.005756224585575,55,5,1.8854,14.266,1.89419009,14.2607601
5,mirong,12947448,0.1101339769681635,25,6,1.8981,0.7958,1.89812917,0.79580923
6,mirong,14338442,0.3091147910375299,28,7,2.8186,-10.0241,2.81851361,-10.02408835
7,mirong,12758953,20.197029645359073,25,8,2.9428,30.5197,2.94247116,30.52530313
8,mirong,33337677,20.708748213532015,66,9,4.4038,14.8505,4.40272106,14.8448429
9,mirong,4493053,0.1192762612537065,8,10,4.9077,20.3627,4.90772798,20.36267976
10,mirong,37411256,9.449253411768817,74,11,5.1117,14.7132,5.11417559,14.71212469
11,mirong,4128952,0.06022912821300619,8,12,5.504,0.1161,5.50398353,0.11609706
12,mirong,38986571,0.1365932891538558,77,13,5.6495,0.5986,5.64946309,0.5986088
13,mirong,15517851,0.1496315308098923,30,14,6.0254,24.0773,6.02542108,24.07733684
14,mirong,10632779,0.08463153058323344,21,15,6.7543,7.2327,6.75431683,7.23268345
15,mirong,14157573,31.627548749329275,28,16,6.9833,23.8014,6.98976809,23.80789331
16,mirong,31493955,58.73497041059683,62,17,7.124,35.7411,7.1068382,35.74959554
17,mirong,34342202,20.24109844241276,68,18,7.7323,32.0416,7.73843232,32.03945722
18,mirong,18486088,0.11363898459912121,36,19,8.2815,19.0063,8.28151978,19.00627457
19,mirong,4272845,0.28252011967001717,8,20,8.704,15.6081,8.704057,15.60815608
20,mirong,12144062,32.17924638374656,24,21,9.2869,5.954,9.27795553,5.95487029
21,mirong,27439616,29.149550004023247,54,22,9.3298,26.2201,9.3376849,26.22404072
22,mirong,7523902,0.20035752261377418,14,23,9.5354,0.2268,9.53545531,0.22680619
23,mirong,20889032,54.06975259956486,41,24,9.8184,-0.5425,9.81206015,-0.55611586
24,mirong,33713915,26.509632720234833,66,25,9.8446,8.3079,9.83859665,8.31225178
25,mirong,4967874,0.1551005480895061,9,26,10.16,16.1639,10.16001852,16.16386076
26,mirong,17865549,55.91090846424898,35,27,10.7984,-9.6378,10.78281579,-9.64006878
27,mirong,36008712,49.09524559591169,71,28,10.8999,0.2489,10.91113989,0.25662338
28,mirong,25214445,0.20952779153413786,49,29,11.252,-0.7897,11.25199881,-0.78975819
29,mirong,5548337,0.17908327433845384,11,30,11.4645,15.9299,11.46444842,15.92990381
30,mirong,1609932,0.22614534015511661,3,31,11.485,0.8737,11.48495369,0.87365755
31,mirong,9569336,32.53823595215379,18,32,11.8101,15.404,11.80244229,15.39878577
32,mirong,6210147,32.590047750090946,12,33,12.8328,29.3052,12.83155196,29.31418714
33,mirong,9258552,0.0834744507263571,18,34,14.4003,24.5871,14.40032421,24.58710728
34,mirong,15789361,17.339822105854328,31,35,14.6979,-1.0972,14.69316019,-1.09633847
35,mirong,2712179,48.43722705202316,5,36,15.0866,7.7643,15.09464622,7.77513849
36,mirong,20891257,0.16377094632780342,41,37,15.2023,-1.181,15.20233871,-1.18097609
37,mirong,31994645,28.57265388659728,63,38,15.8348,14.0321,15.83389948,14.03998862
38,mirong,31994645,34.415395655634875,63,39,15.8351,14.0305,15.83389948,14.03998862
39,mirong,5707198,0.11708775713149701,11,40,15.8448,0.4493,15.84481603,0.4493283
40,mirong,14511627,23.2849747757106,28,41,17.212,-2.5716,17.20740221,-2.56704605
41,mirong,951606,0.18051967260207472,1,42,18.9956,26.4576,18.995588,26.45755102
42,mirong,32821100,28.86028035248797,65,43,19.4168,25.4858,19.42022623,25.49319616
43,mirong,5003588,28.412498010658876,9,44,19.5295,16.4491,19.52656189,16.4564722
44,mirong,15501369,66.19995772683725,30,45,20.2,-8.4884,20.20142335,-8.47006509
45,mirong,1136095,0.23083191864468772,2,46,20.2528,14.0882,20.25284542,14.08815341
46,mirong,25804268,44.823662728093325,51,47,20.2841,15.0032,20.27327642,14.99643795
47,mirong,28359389,55.509776464933495,56,48,21.1545,15.1608,21.15142815,15.17593166
48,mirong,14379272,0.24655384911356684,28,49,22.3944,1.107,22.3943413,1.1070353
49,mirong,4209970,31.925807293365153,8,50,23.214,1.2185,23.2127634,1.22728168
50,mirong,346836,0.12953843942351537,0,51,23.2347,0.7239,23.23467274,0.72392349
51,mirong,14881895,0.1878146360950366,29,52,23.4928,-0.2616,23.49274831,-0.26159293
52,mirong,17097376,35.28726063855695,33,53,23.9826,14.5916,23.99088071,14.58595556
53,mirong,27851450,49.270372815193035,55,54,24.1816,-4.4108,24.17596441,-4.39832042
54,mirong,31013598,30.634722351774702,61,55,24.7464,26.0044,24.75152711,26.01155411
