"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","instrument_id","magsys","origin","altdata","ra","dec","ra_unc","dec_unc","created_at","UTC","owner","streams","flux","fluxerr","snr"
205774974,59673.4703819002,,,19.17770004272461,ztfg,ZTF,1,ab,None,,,,,,2022-04-21T11:01:25.721026,2022-04-04T11:17:20Z,kowalski-bot,ZTF Public,,77.43191193359377,
203127624,59673.4703819002,,,19.17770004272461,ztfg,ZTF,1,ab,None,,,,,,2022-04-18T11:39:32.620986,2022-04-04T11:17:20Z,ampelbot-jvs,,,77.43191193359377,
205774975,59676.47184030013,,,19.190000534057617,ztfg,ZTF,1,ab,None,,,,,,2022-04-21T11:01:25.721102,2022-04-07T11:19:27Z,kowalski-bot,ZTF Public,,76.55962303256749,
203127625,59676.47184030013,,,19.190000534057617,ztfg,ZTF,1,ab,None,,,,,,2022-04-18T11:39:32.621051,2022-04-07T11:19:27Z,ampelbot-jvs,,,76.55962303256749,
205774976,59678.476412000135,,,20.223800659179688,ztfr,ZTF,1,ab,None,,,,,,2022-04-21T11:01:25.721122,2022-04-09T11:26:01Z,kowalski-bot,ZTF Public,,29.544710331051814,
203127626,59678.476412000135,,,20.223800659179688,ztfr,ZTF,1,ab,None,,,,,,2022-04-18T11:39:32.621070,2022-04-09T11:26:01Z,ampelbot-jvs,,,29.544710331051814,
205774977,59683.47070599999,,,19.28380012512207,ztfg,ZTF,1,ab,None,,,,,,2022-04-21T11:01:25.721136,2022-04-14T11:17:48Z,kowalski-bot,ZTF Public,,70.2230923132005,
203127627,59683.47070599999,,,19.28380012512207,ztfg,ZTF,1,ab,None,,,,,,2022-04-18T11:39:32.621086,2022-04-14T11:17:48Z,ampelbot-jvs,,,70.2230923132005,
205774978,59687.44785880018,18.673100025638405,0.1335030049085617,19.201258212266325,ztfg,ZTF,1,ab,None,,320.1838887,29.9172658,,,2022-04-21T11:01:25.721161,2022-04-18T10:44:55Z,kowalski-bot,ZTF Public,123.24235534667994,15.153980035561052,8.13267241064549
203127628,59687.44785880018,18.673080444335938,0.13350334763526917,19.086214065551758,ztfg,ZTF,1,ab,None,,320.1838887,29.9172658,,,2022-04-18T11:39:32.621101,2022-04-18T10:44:55Z,ampelbot-jvs,,123.24457804827898,15.154292244502273,8.132651532636906
205774979,59690.450659700204,18.823028923172743,0.1291340887546539,19.387312456640313,ztfg,ZTF,1,ab,None,,320.18388,29.9172299,,,2022-04-21T11:01:25.721192,2022-04-21T10:48:56Z,kowalski-bot,ZTF Public,107.3466339111327,12.767474908034062,8.407820237311276
205820494,59690.450659700204,18.823028564453125,0.12913408875465393,19.29610252380371,ztfg,ZTF,1,ab,None,,320.18388,29.9172299,,,2022-04-21T11:41:10.678365,2022-04-21T10:48:56Z,ampelbot-jvs,,107.34666937771266,12.767479126318824,8.407820237311274
205838413,59690.450659700204,18.823000372129826,0.12913399934768677,19.387284657315366,ztfg,ZTF,1,ab,None,,320.18388,29.9172299,,,2022-04-21T11:58:33.673549,2022-04-21T10:48:56Z,kowalski-bot,ZTF Public,107.34945678710955,12.767801812236048,8.407826058533505
205838414,59690.480451399926,19.14001123300271,0.14853267371654508,19.552342025099932,ztfr,ZTF,1,ab,None,,320.1839552,29.9172433,,,2022-04-21T11:58:33.673605,2022-04-21T11:31:51Z,kowalski-bot,ZTF Public,80.16697692871085,10.967134903313493,7.309746587004238
205879108,59690.480451399926,19.140010833740234,0.1485326737165451,19.86330223083496,ztfr,ZTF,1,ab,None,,320.1839552,29.9172433,,,2022-04-21T12:38:24.600633,2022-04-21T11:31:51Z,ampelbot-jvs,,80.16700640886577,10.967138936306236,7.309746587004236
209173563,59690.480451399926,19.139999556978275,0.14853300154209137,19.552327952756475,ztfr,ZTF,1,ab,None,,320.1839552,29.9172433,,,2022-04-29T11:39:04.573756,2022-04-21T11:31:51Z,kowalski-bot,ZTF Public,80.16783905029293,10.96727705044703,7.309730453743325
209173564,59695.4533218001,,,20.26409912109375,ztfr,ZTF,1,ab,None,,,,,,2022-04-29T11:39:04.573810,2022-04-26T10:52:47Z,kowalski-bot,ZTF Public,,28.468222504262773,
209171514,59695.4533218001,,,20.26409912109375,ztfr,ZTF,1,ab,None,,,,,,2022-04-29T11:38:09.593984,2022-04-26T10:52:47Z,ampelbot-jvs,,,28.468222504262773,
209290485,59698.44880789984,19.413500247862615,0.1270720064640045,19.995261318264397,ztfg,ZTF,1,ab,None,,320.1839237,29.9172326,,,2022-04-29T13:31:08.703648,2022-04-29T10:46:17Z,kowalski-bot,ZTF Public,62.31604766845712,7.293323348189752,8.544259549924432
209173565,59698.44880789984,19.413482967438824,0.12707166373729706,19.9952469661905,ztfg,ZTF,1,ab,None,,320.1839237,29.9172326,,,2022-04-29T11:39:04.573827,2022-04-29T10:46:17Z,kowalski-bot,ZTF Public,62.3170394897462,7.293419757434501,8.544282594762727
209171515,59698.44880789984,19.413482666015625,0.12707166373729706,20.241159439086914,ztfg,ZTF,1,ab,None,,320.1839237,29.9172326,,,2022-04-29T11:38:09.594057,2022-04-29T10:46:17Z,ampelbot-jvs,,62.31705679026904,7.293421782241458,8.544282594762729
210841908,59698.47243059985,19.736601227505517,0.1879090070724487,19.89361802233135,ztfr,ZTF,1,ab,None,,320.1839361,29.9172652,,,2022-05-02T19:38:52.400987,2022-04-29T11:20:18Z,kowalski-bot,ZTF Public,46.276393890380845,8.00908285891798,5.777989153758455
209290486,59698.47243059985,19.736568739352915,0.18790891766548154,19.893586050771358,ztfr,ZTF,1,ab,None,,320.1839361,29.9172652,,,2022-04-29T13:31:08.703705,2022-04-29T11:20:18Z,kowalski-bot,ZTF Public,46.277778625488324,8.009318705012223,5.7779919029227464
