"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","instrument_id","magsys","origin","altdata","ra","dec","ra_unc","dec_unc","created_at","UTC","owner","streams","flux","fluxerr","snr"
502888310,60112.18768520001,,,19.6718,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.536356,2023-06-17T04:30:16Z,robertstein,,,49.122447820622426,
502888311,60115.18462960003,,,19.3528,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.536692,2023-06-20T04:25:51Z,robertstein,,,65.89917839269027,
502888312,60115.18571759993,,,19.2827,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.536935,2023-06-20T04:27:26Z,robertstein,,,70.29428211040333,
502888313,60115.18679400021,,,19.4537,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.537124,2023-06-20T04:28:59Z,robertstein,,,60.05096627627399,
502888314,60115.18787040003,,,19.4602,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.537353,2023-06-20T04:30:32Z,robertstein,,,59.69253187484884,
502888315,60116.18223380018,,,19.0943,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.537528,2023-06-21T04:22:25Z,robertstein,,,83.61419251105953,
502888316,60116.183310199995,,,19.2778,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.538005,2023-06-21T04:23:58Z,robertstein,,,70.61224184706454,
502888317,60116.18438659981,,,19.0438,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.538300,2023-06-21T04:25:31Z,robertstein,,,87.59513776525728,
502888318,60116.18546300009,,,19.3229,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.538548,2023-06-21T04:27:04Z,robertstein,,,67.73919012352799,
502888319,60116.1865393999,,,19.3711,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.538819,2023-06-21T04:28:37Z,robertstein,,,64.79776105003363,
502888320,60117.18263889989,,,19.5257,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.539070,2023-06-22T04:23:00Z,robertstein,,,56.197888718839415,
502888321,60117.183576399926,,,19.5594,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.539343,2023-06-22T04:24:21Z,robertstein,,,54.480363928635605,
502888322,60117.18452550005,,,19.4842,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.539607,2023-06-22T04:25:43Z,robertstein,,,58.387516093291275,
502888323,60117.18547450006,,,19.5047,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.539869,2023-06-22T04:27:04Z,robertstein,,,57.29543222458403,
502888324,60117.1864120001,,,19.4747,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.540116,2023-06-22T04:28:25Z,robertstein,,,58.9006381350732,
502888325,60120.17065969994,,,19.2678,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.540359,2023-06-25T04:05:44Z,robertstein,,,71.26560887649457,
502888326,60120.17307869997,,,19.2421,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.540613,2023-06-25T04:09:13Z,robertstein,,,72.97263018430212,
502888327,60120.175497699995,,,19.3839,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.540904,2023-06-25T04:12:43Z,robertstein,,,64.03833032347451,
502888328,60120.17791670002,,,19.4096,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.541171,2023-06-25T04:16:12Z,robertstein,,,62.54030573394689,
502888329,60120.18034720002,,,19.4802,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.541413,2023-06-25T04:19:41Z,robertstein,,,58.60302038178773,
502888330,60121.17074069986,,,18.8517,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.541919,2023-06-26T04:05:51Z,robertstein,,,104.54902811922734,
502888331,60121.17315969989,,,18.811,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.542175,2023-06-26T04:09:20Z,robertstein,,,108.54254493068254,
502888332,60121.1755903,,,19.0248,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.542465,2023-06-26T04:12:51Z,robertstein,,,89.1415127745644,
502888333,60121.17800930003,,,18.8961,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.542705,2023-06-26T04:16:20Z,robertstein,,,100.35984918261175,
502888334,60121.180439800024,,,19.0565,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.542977,2023-06-26T04:19:49Z,robertstein,,,86.57649506603724,
502888335,60124.1707870001,,,18.4424,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.543225,2023-06-29T04:05:55Z,robertstein,,,152.41931307078596,
502888336,60124.17321760021,,,18.6248,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.543474,2023-06-29T04:09:26Z,robertstein,,,128.84868778881145,
502888337,60124.17563659977,,,18.7493,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.543767,2023-06-29T04:12:55Z,robertstein,,,114.88941021697275,
502888338,60124.17806709977,,,18.6735,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.544023,2023-06-29T04:16:24Z,robertstein,,,123.1969624569228,
502888339,60124.180486099795,,,18.6508,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.544280,2023-06-29T04:19:53Z,robertstein,,,125.7998142930947,
501609076,60202.51362269977,,,19.498699188232422,ztfr,ZTF,1,ab,None,,,,,,2023-10-05T12:49:33.969997,2023-09-15T12:19:37Z,kowalski-bot,ZTF Public,,57.61297804382328,
502888340,60202.51362269977,,,19.4987,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.544517,2023-09-15T12:19:37Z,robertstein,,,57.612934968599355,
502885523,60202.51362269977,,,19.498699188232422,ztfr,ZTF,1,ab,None,,,,,,2023-10-09T18:08:18.324859,2023-09-15T12:19:37Z,simeonreusch,,,57.61297804382328,
501609077,60202.5160416998,,,19.408599853515625,ztfr,ZTF,1,ab,None,,,,,,2023-10-05T12:49:33.970054,2023-09-15T12:23:06Z,kowalski-bot,ZTF Public,,62.59794246448881,
502888341,60202.5160416998,,,19.4086,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.544829,2023-09-15T12:23:06Z,robertstein,,,62.5979340189568,
502885524,60202.5160416998,,,19.408599853515625,ztfr,ZTF,1,ab,None,,,,,,2023-10-09T18:08:18.324933,2023-09-15T12:23:06Z,simeonreusch,,,62.59794246448881,
501609078,60202.5184491002,,,19.318899154663086,ztfr,ZTF,1,ab,None,,,,,,2023-10-05T12:49:33.970074,2023-09-15T12:26:34Z,kowalski-bot,ZTF Public,,67.9892637301944,
502888342,60202.5184491002,,,19.3189,ztfr,ZTF,1,ab,fp,,,,,,2023-10-09T18:15:21.545081,2023-09-15T12:26:34Z,robertstein,,,67.98921079485733,
