OVERVIEW OF GCNed CANDIDATES,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
IceCube event,IceCube GCN,Our ATel(s)/GCN(s),sep. from plane,Candidate Names,Candidate IAU Names,Classification,Max Brightness g,Max brightness r,Brightness at neutrino arrival g,Brightness at neutrino arrival r,number of detection days,Fritz Link,Notes,SUMMARY,,,,,,,,,,
IC190619A,https://gcn.gsfc.nasa.gov/gcn3/24378.gcn3,http://www.astronomerstelegram.org/?read=12730,18.38,ZTF18actxchc,,AGN,18.93,19.14,19.79,19.88,>20,,,Total number of reported candidates,44,,CDF,,,,,,PDF,
,,,,ZTF19aaycool,,,20.31,20.34,20.31,20.34,5,https://fritz.science/source/ZTF19aaycool,,Average Max Brightness,20.305,,Max Brightness,Bin entries,,,,,Max Brightness,Bin entries
,,,,,,,,,,,,,,,,,18,1,,,,,18.25,2
IC190730A,https://gcn.gsfc.nasa.gov/gcn3/25225.gcn3,http://www.astronomerstelegram.org/?read=12974,54.83,ZTF18aaqnqzx,PKS 1502+106,FSRQ,18.48,17.85,,,,,,,,,18.5,3,,,,,18.75,4
,,,,,,,,,,,,,,,,,19,7,,,,,19.25,2
IC190922B,https://gcn.gsfc.nasa.gov/gcn3/25806.gcn3,http://www.astronomerstelegram.org/?read=13125,-63.55,ZTF19abxtupj,AT 2019pqh,II/IIb,,20.31,,20.456,4,https://fritz.science/source/ZTF19abxtupj,"IIb, spectrum by NOT and us (Keck)",,,,19.5,9,,,,,19.75,7
,,,,,,,,,,,,,,,,,20,16,,,,,20.25,13
IC191001A,https://gcn.gsfc.nasa.gov/gcn3/25913.gcn3,http://www.astronomerstelegram.org/?read=13160,-20.33,ZTF19abzkexb,AT2019qhl,Ia,18.84,19.02,,19.02,9,https://fritz.science/source/ZTF19abzkexb,Caltech-classified,,,,20.5,29,,,,,20.75,9
,,,,ZTF19acbpqfn,AT2019rsj,???,20.39,20.46,20.61,20.69,5,https://fritz.science/source/ZTF19acbpqfn,Likely real,,,,21,38,,,,,21.25,5
,,,,ZTF19acbxbjq,AT2019rsk,???,20.32,20.47,,20.47,3,https://fritz.science/source/ZTF19acbxbjq,"Likely real, rising!",,,,21.5,43,,,,,,
,,,,ZTF19aapreis,AT2019dsg,TDE,,17.83,,19.54,>20,https://fritz.science/source/ZTF19aapreis,150 days old. Radio-detected. Swift+VLA triggered.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
