OVERVIEW,,,,,,,,v2 alerts,42,,,,,,,
,,,,,,,,,,,,,,,,
total number,,43,,,,,,,,,,,,,,
Event,Class,RA,RA Unc (rectangle),Dec,Dec Unc (rectangle),Area (rectangle),Observed area (from Healpix),Observed area (corrected for chip gaps),Signalness,S/B,Energy estimate [TeV],Separation from gal. plane,IC GCN,ZTF ATEL/GCN,Additional ZTF GCN,Additional ZTF GCN
IC190503A,EHE,120.28,"[0.57, -0.77]",6.35,"[0.76, -0.7]",1.944,1.643,1.37,0.36,0.185158177,,18.38,https://gcn.gsfc.nasa.gov/gcn3/24378.gcn3,http://www.astronomerstelegram.org/?read=12730,,
IC190619A,GOLD,343.26,"[4.08, -2.63]",10.73,"[1.51, -2.61]",27.210,25.733,21.57,0.55,0.02021316314,198.7,21.63,https://gcn.gsfc.nasa.gov/gcn3/24910.gcn3,http://www.astronomerstelegram.org/?read=12879,,
IC190730A,GOLD,225.79,"[1.28, -1.43]",10.47,"[1.14, -0.89]",5.408,4.960,4.52,0.67,0.1239017468,298.81,54.83,https://gcn.gsfc.nasa.gov/gcn3/25225.gcn3,http://www.astronomerstelegram.org/?read=12974,,
IC190922B,GOLD,5.76,"[1.19, -1.37]",-1.57,"[0.93, -0.82]",4.478,4.115,4.09,0.51,0.1138790936,187.37,-63.55,https://gcn.gsfc.nasa.gov/gcn3/25806.gcn3,https://gcn.gsfc.nasa.gov/gcn3/25824.gcn3,,
IC191001A,GOLD,314.08,"[6.56, -2.26]",12.94,"[1.5, -1.47]",25.529,28.651,23.06,0.59,0.02311130333,217.42,-20.33,https://gcn.gsfc.nasa.gov/gcn3/25913.gcn3,https://gcn.gsfc.nasa.gov/gcn3/25929.gcn3,,
IC200107A,EXTRA,148.18,"[2.2, -1.83]",35.46,"[1.1, -1.22]",7.621,7.459,6.28,,0,,51.26,https://gcn.gsfc.nasa.gov/gcn3/26655.gcn3,https://gcn.gsfc.nasa.gov/gcn3/26667.gcn3,,
IC200109A,GOLD,164.49,"[4.94, -4.19]",11.87,"[1.16, -1.36]",22.524,25.015,22.36,0.77,0.03418598544,375.23,59.33,https://gcn.gsfc.nasa.gov/gcn3/26696.gcn3,https://gcn.gsfc.nasa.gov/gcn3/26747.gcn3,,
IC200117A,BRONZE,116.24,"[0.71, -1.24]",29.14,"[0.9, -0.78]",2.860,2.659,2.66,0.38,0.1328814095,108.39,23.7,https://gcn.gsfc.nasa.gov/gcn3/26802.gcn3,https://gcn.gsfc.nasa.gov/gcn3/26813.gcn3,https://gcn.gsfc.nasa.gov/gcn3/26816.gcn3,
IC200512A,BRONZE,295.18,"[1.72, -2.26]",15.79,"[1.26, -1.29]",9.767,9.340,9.26,0.32,0.032764208,108.77,-3.36,https://gcn.gsfc.nasa.gov/gcn3/27719.gcn3,https://gcn.gsfc.nasa.gov/gcn3/27721.gcn3,,
IC200530A,GOLD,255.37,"[2.48, -2.56]",26.61,"[2.33, -3.28]",25.384,24.501,22.05,0.59,0.02324336534,82.186,34.86,https://gcn.gsfc.nasa.gov/gcn3/27865.gcn3,https://gcn.gsfc.nasa.gov/gcn3/27872.gcn3,https://gcn.gsfc.nasa.gov/gcn3/27910.gcn3,https://gcn.gsfc.nasa.gov/gcn3/27980.gcn3
IC200620A,BRONZE,162.11,"[0.64, -0.95]",11.95,"[0.63, -0.48]",1.726,1.600,1.24,0.32,0.1853812487,113.5,57.43,https://gcn.gsfc.nasa.gov/gcn3/27997.gcn3,https://gcn.gsfc.nasa.gov/gcn3/28005.gcn3,,
IC200916A,BRONZE,109.78,"[1.08, -1.44]",14.36,"[0.88, -0.85]",4.223,3.954,3.61,0.32,0.07577358053,110.48,12.53,https://gcn.gsfc.nasa.gov/gcn3/28433.gcn3,https://gcn.gsfc.nasa.gov/gcn3/28441.gcn3,https://gcn.gsfc.nasa.gov/gcn3/28465.gcn3,
IC200926A,GOLD,96.46,"[0.73, -0.55]",-4.33,"[0.61, -0.76]",1.748,1.439,1.29,0.44,0.2516557865,670.5,-7.66,https://gcn.gsfc.nasa.gov/gcn3/28504.gcn3,https://gcn.gsfc.nasa.gov/gcn3/28520.gcn3,,
